Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",8.9.2016,1091667,1993,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",4.3.1957,93410,1879,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",28.4.2011,1058090,1993,
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15.7.2010,896159,1985,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",29.12.2015,313927,1847,
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",30.6.1976,1739940,1982,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18.12.1997,20286,1950,
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",1.3.2001,723254,1929,
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1.12.1993,858877,1984,
C,Citigroup,Financials,Diversified Banks,"New York City, New York",31.5.1988,831001,1998,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",29.1.2016,759944,1828,
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",31.3.1969,21076,1913,
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",11.8.2006,1156375,1848,
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",4.3.1957,811156,1886,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",4.3.1957,21344,1886,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17.11.2006,1058290,1994,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",4.3.1957,21665,1806,
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19.11.2002,1166691,1963,
